,Company,Location,Industry,Laid_Off_Count,Date,Stage,Country,Percentage
1363,StockX,50,23,80.0,2022-06-28,Series E,56,0.18
1364,Vezeeta,52,12,50.0,2022-06-28,Series D,54,0.1
1365,Bright Machines,147,4,30.0,2022-06-28,Unknown,25,0.08
1366,HealthMatch,169,12,18.0,2022-06-28,Series B,1,0.5
1367,Booktopia,169,23,80.0,2022-06-28,Series A,1,0.18
1368,Nova Benefits,17,12,80.0,2022-06-28,Series B,22,0.3
1369,Una Brands,163,23,80.0,2022-06-28,Series A,46,0.1
1370,AppLovin,147,17,300.0,2022-06-27,Post-IPO,56,0.12
1371,UiPath,125,4,210.0,2022-06-27,Post-IPO,56,0.05
1372,Udaan,17,23,180.0,2022-06-27,Unknown,22,0.04
1373,Cue,151,12,170.0,2022-06-27,Post-IPO,56,0.18
1374,Banxa,106,3,70.0,2022-06-27,Post-IPO,1,0.3
1375,SafeGraph,147,4,27.0,2022-06-27,Series B,56,0.25
1376,Amount,39,7,80.0,2022-06-27,Unknown,56,0.18
1377,Postscript,147,17,43.0,2022-06-26,Series C,56,0.18
1378,Bitpanda,180,3,270.0,2022-06-24,Series C,2,0.27
1379,Sunday,6,7,90.0,2022-06-24,Series A,56,0.23
1380,Bestow,47,7,41.0,2022-06-24,Series C,56,0.14
1381,Ethos Life,147,7,40.0,2022-06-24,Series D,56,0.12
1382,Feather,125,23,80.0,2022-06-24,Unknown,56,0.18
1383,Give Legacy,24,12,80.0,2022-06-24,Series B,56,0.18
1384,Netflix,147,18,300.0,2022-06-23,Post-IPO,56,0.03
1385,Aura,24,25,70.0,2022-06-23,Series F,56,0.09
1386,Pipl,165,25,22.0,2022-06-23,Unknown,56,0.13
1387,Vouch,147,7,15.0,2022-06-23,Series C,56,0.07
1388,Voyage SMS,98,17,8.0,2022-06-23,Unknown,56,0.13
1389,Esper,158,19,80.0,2022-06-23,Series A,56,0.12
1390,Kune,118,9,80.0,2022-06-23,Seed,28,1.0
1391,Mark43,125,19,80.0,2022-06-23,Series E,56,0.18
1392,Orchard,125,21,80.0,2022-06-23,Series D,56,0.1
1393,Ro,125,12,80.0,2022-06-23,Unknown,56,0.18
1394,StreamElements,172,18,80.0,2022-06-23,Series B,25,0.2
1395,MasterClass,147,5,120.0,2022-06-22,Series E,56,0.2
1396,IronNet,183,25,90.0,2022-06-22,Post-IPO,56,0.35
1397,Bungalow,147,21,70.0,2022-06-22,Series C,56,0.18
1398,IronNet,183,25,55.0,2022-06-22,Post-IPO,56,0.17
1399,Sprinklr,125,26,50.0,2022-06-22,Post-IPO,56,0.18
1400,Superpedestrian,24,27,35.0,2022-06-22,Series C,56,0.07
1401,Voi,168,27,35.0,2022-06-22,Series D,56,0.1
1402,Balto,166,24,30.0,2022-06-22,Series B,56,0.18
1403,Ritual,175,9,23.0,2022-06-22,Series C,7,0.16
1404,Mindgeek,100,18,80.0,2022-06-22,Unknown,30,0.18
1405,Voly,169,9,80.0,2022-06-22,Seed,1,0.5
1406,Ebanx,45,7,340.0,2022-06-21,Series B,5,0.2
1407,TaskUs,98,26,52.0,2022-06-21,Post-IPO,56,0.0
1408,Community,98,17,40.0,2022-06-21,Unknown,56,0.3
1409,Sourcegraph,147,20,24.0,2022-06-21,Series D,56,0.08
1410,Frubana,22,9,80.0,2022-06-21,Series C,10,0.03
1411,SuperLearn,17,5,80.0,2022-06-21,Seed,22,1.0
1412,Tray.io,147,4,80.0,2022-06-21,Series C,56,0.1
1413,Bybit,163,3,600.0,2022-06-20,Unknown,46,0.3
1414,SummerBio,147,12,101.0,2022-06-20,Unknown,56,1.0
1415,Trax,163,23,100.0,2022-06-20,Series E,46,0.12
1416,Aqgromalin,38,9,80.0,2022-06-20,Unknown,22,0.3
1417,Bonsai,175,23,30.0,2022-06-20,Series A,7,0.55
1418,Brighte,169,6,30.0,2022-06-20,Series C,1,0.15
1419,Buzzer,125,18,80.0,2022-06-20,Unknown,56,0.2
1420,Bybit,163,3,80.0,2022-06-20,Unknown,46,0.18
1421,CityMall,66,23,191.0,2022-06-19,Series C,22,0.3
1422,BitOasis,52,3,9.0,2022-06-19,Series B,54,0.05
1423,Unacademy,17,5,150.0,2022-06-18,Series H,22,0.03
1424,Bytedance,161,2,150.0,2022-06-17,Unknown,9,0.18
1425,Socure,145,7,69.0,2022-06-17,Series E,56,0.13
1426,Finite State,42,25,16.0,2022-06-17,Series B,56,0.2
1427,JOKR,125,9,50.0,2022-06-16,Series B,56,0.05
1428,Zumper,147,21,45.0,2022-06-16,Series D,56,0.15
1429,PharmEasy,116,12,40.0,2022-06-16,Unknown,22,0.18
1430,Circulo Health,42,12,80.0,2022-06-16,Series A,56,0.5
1431,Swappie,69,23,250.0,2022-06-15,Series C,15,0.17
1432,Wealthsimple,175,7,159.0,2022-06-15,Unknown,7,0.13
1433,Weee!,147,9,150.0,2022-06-15,Series E,56,0.1
1434,Notarize,24,14,110.0,2022-06-15,Series D,56,0.25
1435,Elementor,172,18,60.0,2022-06-15,Unknown,25,0.15
1436,Tonkean,147,19,23.0,2022-06-15,Series B,56,0.23
1437,Airtame,43,2,15.0,2022-06-15,Unknown,12,0.18
1438,OpenWeb,172,18,14.0,2022-06-15,Series E,25,0.05
1439,Swyft,175,15,10.0,2022-06-15,Series A,7,0.3
1440,Crehana,94,5,80.0,2022-06-15,Series B,39,0.18
1441,JetClosing,158,21,80.0,2022-06-15,Series B,56,1.0
1442,Coinbase,147,3,1100.0,2022-06-14,Post-IPO,56,0.18
1443,Redfin,158,21,470.0,2022-06-14,Post-IPO,56,0.08
1444,Compass,125,21,450.0,2022-06-14,Post-IPO,56,0.1
1445,Sami,156,12,75.0,2022-06-14,Unknown,5,0.15
1446,Breathe,122,12,50.0,2022-06-14,Series A,22,0.33
1447,Hunty,22,10,30.0,2022-06-14,Seed,10,0.18
1448,TIFIN,25,3,24.0,2022-06-14,Series D,56,0.1
1449,Addi,22,7,80.0,2022-06-14,Series C,10,0.18
1450,Shopee,163,9,80.0,2022-06-14,Unknown,46,0.18
1451,BlockFi,125,3,250.0,2022-06-13,Series E,56,0.2
1452,Wave Sports and Entertainment,98,18,56.0,2022-06-13,Series B,56,0.33
1453,Studio,147,5,33.0,2022-06-13,Series B,56,0.4
1454,Automox,25,13,80.0,2022-06-13,Series C,56,0.18
1455,Desktop Metal,24,19,80.0,2022-06-13,Post-IPO,56,0.12
1456,Crypto.com,163,3,260.0,2022-06-10,Unknown,46,0.05
1457,FarEye,122,15,250.0,2022-06-10,Series E,22,0.3
1458,Berlin Brands Group,18,23,100.0,2022-06-10,Unknown,17,0.1
1459,Sanar,156,12,60.0,2022-06-10,Unknown,5,0.2
1460,Freetrade,97,7,45.0,2022-06-10,Unknown,55,0.15
1461,Albert,98,7,20.0,2022-06-10,Series C,56,0.08
1462,Keepe,158,21,80.0,2022-06-10,Unknown,56,0.18
1463,Liongard,72,13,80.0,2022-06-10,Series B,56,0.18
1464,Ziroom,14,21,80.0,2022-06-10,Unknown,9,0.2
1465,OneTrust,6,25,950.0,2022-06-09,Series C,56,0.25
1466,Stitch Fix,147,23,330.0,2022-06-09,Post-IPO,56,0.15
1467,Daniel Wellington,168,23,200.0,2022-06-09,Unknown,50,0.15
1468,Convoy,158,15,90.0,2022-06-09,Series E,56,0.07
1469,Hologram,39,13,80.0,2022-06-09,Series B,56,0.4
1470,Boozt,102,23,70.0,2022-06-09,Post-IPO,50,0.05
1471,The Grommet,24,23,40.0,2022-06-09,Acquired,56,1.0
1472,Stashaway,163,7,31.0,2022-06-09,Series D,46,0.14
1473,Preply,24,5,26.0,2022-06-09,Series C,56,0.05
1474,Jellysmack,125,18,80.0,2022-06-09,Series C,56,0.08
1475,Starship,147,27,80.0,2022-06-09,Series B,56,0.11
1476,Trade Republic,18,7,80.0,2022-06-09,Series C,17,0.18
1477,Sonder,147,28,250.0,2022-06-08,Post-IPO,56,0.21
1478,Kavak,156,27,150.0,2022-06-08,Series E,5,0.18
1479,Truepill,147,12,150.0,2022-06-08,Series D,56,0.15
1480,iPrice Group,88,23,50.0,2022-06-08,Unknown,31,0.2
1481,Memmo,168,2,80.0,2022-06-08,Unknown,50,0.4
1482,Cazoo,97,27,750.0,2022-06-07,Post-IPO,55,0.15
1483,Rupeek,17,7,180.0,2022-06-07,Unknown,22,0.15
1484,Lummo,79,17,150.0,2022-06-07,Series C,23,0.18
1485,Bird,98,27,138.0,2022-06-07,Post-IPO,56,0.23
1486,ID.me,183,25,130.0,2022-06-07,Unknown,56,0.18
1487,KiwiCo,147,23,40.0,2022-06-07,Unknown,56,0.18
1488,Bond,147,7,80.0,2022-06-07,Series A,56,0.18
1489,CyberCube,147,7,80.0,2022-06-07,Series B,56,0.18
1490,Propzy,70,21,80.0,2022-06-07,Series A,58,0.5
1491,Clearco,175,7,60.0,2022-06-06,Series C,7,0.18
1492,Dutchie,16,19,50.0,2022-06-06,Series D,56,0.07
1493,Clearco,53,7,80.0,2022-06-06,Series C,24,0.18
1494,Deep Instinct,125,25,80.0,2022-06-06,Series D,56,0.1
1495,Sendoso,147,17,80.0,2022-06-06,Series C,56,0.14
1496,Eruditus,116,5,40.0,2022-06-04,Series E,22,0.18
1497,Afterverse,26,2,60.0,2022-06-03,Unknown,5,0.2
1498,Superhuman,147,2,23.0,2022-06-03,Series C,56,0.22
1499,Food52,125,9,21.0,2022-06-03,Acquired,56,0.15
1500,5B Solar,169,6,80.0,2022-06-03,Series A,1,0.25
1501,Clubhouse,147,2,80.0,2022-06-03,Series C,56,0.18
1502,Tesla,8,27,80.0,2022-06-03,Post-IPO,56,0.1
1503,Carbon Health,147,12,250.0,2022-06-02,Series D,56,0.08
1504,Favo,156,9,170.0,2022-06-02,Series A,5,0.18
1505,PolicyGenius,125,7,170.0,2022-06-02,Series E,56,0.25
1506,Yojak,66,1,140.0,2022-06-02,Seed,22,0.5
1507,Envato,106,17,100.0,2022-06-02,Unknown,1,0.18
1508,Gemini,125,3,100.0,2022-06-02,Unknown,56,0.1
1509,Stord,6,15,59.0,2022-06-02,Series D,56,0.08
1510,Gather,147,2,30.0,2022-06-02,Series B,56,0.33
1511,Shef,147,9,29.0,2022-06-02,Series A,56,0.18
1512,IRL,147,2,25.0,2022-06-02,Series C,56,0.25
1513,Esme Learning,24,5,80.0,2022-06-02,Unknown,56,0.18
1514,Kaodim,159,2,80.0,2022-06-02,Series B,56,1.0
1515,Rain,104,7,80.0,2022-06-02,Series B,3,0.18
1516,TomTom,3,27,500.0,2022-06-01,Post-IPO,34,0.1
1517,Cybereason,24,25,100.0,2022-06-01,Series F,56,0.06
1518,Udayy,66,5,100.0,2022-06-01,Seed,22,1.0
1519,2TM,156,3,90.0,2022-06-01,Unknown,5,0.12
1520,Curve,97,7,65.0,2022-06-01,Series C,55,0.1
1521,Loom,147,20,34.0,2022-06-01,Series C,56,0.14
1522,Skillshare,125,5,31.0,2022-06-01,Unknown,56,0.18
1523,Impala,97,28,30.0,2022-06-01,Series B,55,0.35
1524,Eaze,147,2,25.0,2022-06-01,Series D,56,0.18
1525,Side,147,21,80.0,2022-06-01,Unknown,56,0.1
1526,Truck It In,84,15,80.0,2022-06-01,Seed,38,0.3
1527,Playtika,172,2,250.0,2022-05-31,Post-IPO,25,0.06
1528,Replicated,98,13,50.0,2022-05-31,Series C,56,0.18
1529,Tomo,167,7,44.0,2022-05-31,Series A,56,0.33
1530,Getta,172,27,30.0,2022-05-31,Series A,25,0.18
1531,BookClub,149,5,12.0,2022-05-31,Series A,56,0.25
1532,Cerebral,147,12,80.0,2022-05-31,Series C,56,0.18
1533,SWVL,52,27,400.0,2022-05-30,Post-IPO,54,0.32
1534,Mobile Premier League,17,2,100.0,2022-05-30,Series E,22,0.1
1535,SumUp,156,7,100.0,2022-05-30,Unknown,5,0.03
1536,Tempus Ex,147,4,80.0,2022-05-30,Unknown,56,0.18
1537,FrontRow,17,5,145.0,2022-05-27,Series A,22,0.3
1538,Daloopa,122,4,40.0,2022-05-27,Series A,22,0.18
1539,Uncapped,97,7,29.0,2022-05-27,Unknown,55,0.26
1540,Akerna,49,15,80.0,2022-05-27,Unknown,56,0.18
1541,Terminus,6,17,80.0,2022-05-27,Series C,56,0.18
1542,Terminus,6,17,80.0,2022-05-27,Unknown,56,0.18
1543,VTEX,156,23,200.0,2022-05-26,Post-IPO,5,0.13
1544,Bitso,107,3,80.0,2022-05-26,Series C,32,0.11
1545,Foodpanda,30,9,80.0,2022-05-26,Acquired,42,0.18
1546,Dazn,97,2,50.0,2022-05-26,Unknown,55,0.02
1547,Lacework,147,25,300.0,2022-05-25,Series D,56,0.2
1548,Bolt,147,7,240.0,2022-05-25,Series E,56,0.27
1549,PeerStreet,98,7,75.0,2022-05-25,Series C,56,0.18
1550,Kontist,18,7,50.0,2022-05-25,Series B,17,0.25
1551,Nuri,18,7,45.0,2022-05-25,Series B,17,0.2
1552,Coterie Insurance,40,7,30.0,2022-05-25,Series B,56,0.2
1553,Airlift,90,15,80.0,2022-05-25,Series B,38,0.31
1554,Getir,78,9,80.0,2022-05-25,Series E,53,0.14
1555,Zapp,97,9,80.0,2022-05-25,Unknown,55,0.1
1556,Gorillas,18,9,300.0,2022-05-24,Series C,17,0.5
1557,Zenius,79,5,200.0,2022-05-24,Series B,23,0.18
1558,The Zebra,8,7,40.0,2022-05-24,Series D,56,0.18
1559,Klarna,168,7,700.0,2022-05-23,Unknown,50,0.1
1560,PayPal,147,7,83.0,2022-05-23,Post-IPO,56,0.18
1561,Buenbit,32,3,80.0,2022-05-23,Series A,0,0.45
1562,BeyondMinds,172,4,65.0,2022-05-23,Series A,25,1.0
1563,ClickUp,151,19,60.0,2022-05-23,Series C,56,0.07
1564,Airtime,125,2,30.0,2022-05-23,Series B,56,0.2
1565,Olist,45,23,80.0,2022-05-23,Series E,5,0.18
1566,MFine,17,12,600.0,2022-05-21,Series C,22,0.75
1567,Latch,125,25,130.0,2022-05-20,Post-IPO,56,0.28
1568,Outside,25,18,87.0,2022-05-20,Series B,56,0.15
1569,Skillz,147,2,70.0,2022-05-20,Post-IPO,56,0.1
1570,Cars24,66,27,600.0,2022-05-19,Series G,22,0.06
1571,Vedantu,17,5,424.0,2022-05-18,Series E,22,0.07
1572,Netflix,147,18,150.0,2022-05-17,Post-IPO,56,0.01
1573,Kry,168,12,100.0,2022-05-17,Series D,50,0.1
1574,Picsart,108,2,90.0,2022-05-17,Series C,56,0.08
1575,Zak,156,9,100.0,2022-05-16,Series A,56,0.4
1576,Zulily,158,23,80.0,2022-05-16,Acquired,56,0.18
1577,AliExpress Russia,115,23,400.0,2022-05-14,Acquired,43,0.4
1578,Thirty Madison,125,12,24.0,2022-05-14,Acquired,56,0.18
1579,CommonBond,125,7,22.0,2022-05-13,Series D,56,0.18
1580,Subspace,98,13,80.0,2022-05-13,Series B,56,1.0
1581,Zwift,98,8,150.0,2022-05-12,Series C,56,0.18
1582,Section4,125,5,32.0,2022-05-12,Series A,56,0.18
1583,Tripwire,138,25,80.0,2022-05-12,Acquired,56,0.18
1584,DataRobot,24,4,70.0,2022-05-11,Series G,56,0.07
1585,Carvana,136,27,2500.0,2022-05-10,Post-IPO,56,0.12
1586,Doma,147,7,310.0,2022-05-10,Post-IPO,56,0.15
1587,Pollen,97,28,200.0,2022-05-10,Series C,55,0.33
1588,Latch,125,25,30.0,2022-05-10,Post-IPO,56,0.06
1589,Meero,133,19,350.0,2022-05-09,Series C,16,0.5
1590,Vroom,125,27,270.0,2022-05-09,Post-IPO,56,0.14
1591,Reef,108,27,750.0,2022-05-06,Unknown,56,0.05
1592,divvyDOSE,48,12,62.0,2022-05-06,Acquired,56,0.18
1593,Vedantu,17,5,200.0,2022-05-05,Series E,22,0.03
1594,Mural,147,20,90.0,2022-05-05,Series C,56,0.1
1595,On Deck,147,5,72.0,2022-05-05,Series A,56,0.25
1596,SEND,169,9,300.0,2022-05-04,Seed,1,1.0
1597,Colossus,24,6,97.0,2022-05-04,Series A,56,0.18
1598,Cameo,39,2,87.0,2022-05-04,Unknown,56,0.25
1599,Mainstreet,147,7,45.0,2022-05-04,Series A,56,0.3
1600,Ideoclick,158,23,40.0,2022-05-04,Series A,56,0.18
1601,Vise,125,7,25.0,2022-05-04,Series C,56,0.18
1602,Bizpay,169,7,80.0,2022-05-04,Unknown,1,0.3
1603,Thrasio,24,23,80.0,2022-05-02,Unknown,56,0.18
1604,Avo,172,9,500.0,2022-05-01,Series B,25,0.67
1605,Noom,125,12,495.0,2022-04-29,Series F,56,0.18
1606,Domestika,147,5,150.0,2022-04-28,Series D,56,0.19
1607,Netflix,147,18,25.0,2022-04-28,Post-IPO,56,0.18
1608,Wahoo Fitness,6,8,50.0,2022-04-27,Unknown,56,0.18
1609,Robinhood,147,7,340.0,2022-04-26,Post-IPO,56,0.09
1610,Bonsai,175,23,29.0,2022-04-26,Series A,7,0.34
1611,Sigfox,176,19,64.0,2022-04-25,Acquired,16,0.18
1612,Clyde,125,17,22.0,2022-04-25,Series B,56,0.18
1613,Xiaohongshu,161,2,180.0,2022-04-21,Series E,9,0.09
1614,Facily,156,23,260.0,2022-04-20,Series D,5,0.3
1615,Lemonade,125,7,52.0,2022-04-20,Post-IPO,56,0.18
1616,Blend,147,7,200.0,2022-04-19,Post-IPO,56,0.1
1617,QuintoAndar,156,21,160.0,2022-04-19,Series E,5,0.04
1618,Loft,156,21,159.0,2022-04-19,Unknown,5,0.18
1619,Better.com,125,21,80.0,2022-04-19,Unknown,56,0.18
1620,Automox,25,13,80.0,2022-04-18,Series C,56,0.11
1621,Humble,147,18,10.0,2022-04-15,Acquired,56,0.18
1622,Halcyon Health,125,12,80.0,2022-04-15,Unknown,56,1.0
1623,Ahead,147,12,44.0,2022-04-14,Unknown,56,1.0
1624,Truepill,147,12,80.0,2022-04-14,Series D,56,0.18
1625,Rad Power Bikes,158,27,100.0,2022-04-12,Series D,56,0.14
1626,Meesho,17,23,150.0,2022-04-11,Series F,22,0.18
1627,Food52,125,9,20.0,2022-04-08,Acquired,56,0.1
1628,Unacademy,17,5,1000.0,2022-04-07,Series H,22,0.17
1629,Goodfood,35,9,70.0,2022-04-07,Post-IPO,7,0.18
1630,Workrise,8,6,450.0,2022-04-05,Series E,56,0.18
1631,Fast,147,7,80.0,2022-04-05,Series B,56,1.0
1632,BitMEX,127,3,75.0,2022-04-04,Seed,45,0.25
1633,Legible,178,18,23.0,2022-04-04,Post-IPO,7,0.38
1634,Lightico,172,7,20.0,2022-03-31,Series B,25,0.18
1635,Sea,17,23,350.0,2022-03-30,Post-IPO,22,0.18
1636,Rasa,18,4,59.0,2022-03-30,Series B,17,0.4
1637,Gopuff,135,9,450.0,2022-03-29,Series H,56,0.03
1638,Thinkific,178,5,100.0,2022-03-29,Post-IPO,7,0.2
1639,Furlenco,17,23,180.0,2022-03-26,Series D,22,0.18
1640,Grove Collaborative,147,23,80.0,2022-03-19,Series E,56,0.17
1641,Storytel,168,18,100.0,2022-03-17,Post-IPO,50,0.1
1642,Curology,147,12,150.0,2022-03-16,Series D,56,0.18
1643,Trell,17,23,300.0,2022-03-15,Series B,22,0.5
1644,Knock,125,21,115.0,2022-03-15,Unknown,56,0.46
1645,Talis Biomedical,147,12,80.0,2022-03-15,Post-IPO,56,0.25
1646,Sezzle,111,7,80.0,2022-03-10,Post-IPO,56,0.2
1647,Better.com,125,21,3000.0,2022-03-08,Unknown,56,0.33
1648,Adaptive Biotechnologies,158,12,100.0,2022-03-08,Post-IPO,56,0.12
1649,Hyperscience,125,4,100.0,2022-03-03,Series E,56,0.25
1650,WeDoctor,127,12,500.0,2022-03-02,Series F,9,0.18
1651,Wish,147,23,190.0,2022-03-01,Post-IPO,56,0.15
1652,iFit,96,8,80.0,2022-02-25,Private Equity,56,0.18
1653,OKCredit,122,7,30.0,2022-02-24,Series B,22,0.18
1654,Lido,116,5,150.0,2022-02-21,Series A,22,0.18
1655,Virgin Hyperloop,98,27,111.0,2022-02-21,Unknown,56,0.5
1656,Trustly,168,7,120.0,2022-02-17,Acquired,50,0.18
1657,Liv Up,156,9,100.0,2022-02-16,Series D,5,0.15
1658,Homie,149,21,119.0,2022-02-14,Series B,56,0.29
1659,Hopin,97,19,138.0,2022-02-10,Series D,56,0.12
1660,Daily Harvest,125,9,60.0,2022-02-10,Series D,56,0.2
1661,Peloton,125,8,2800.0,2022-02-08,Post-IPO,56,0.2
1662,Defined.ai,158,4,80.0,2022-02-07,Series B,56,0.18
1663,Rhino,125,21,57.0,2022-02-03,Unknown,56,0.2
1664,Gopuff,135,9,100.0,2022-01-26,Series H,56,0.18
1665,Glossier,125,2,80.0,2022-01-26,Series E,56,0.33
1666,Root Insurance,42,7,330.0,2022-01-20,Post-IPO,56,0.18
1667,Spin,147,27,80.0,2022-01-08,Acquired,56,0.25
1668,Delivery Hero,18,9,300.0,2021-12-22,Post-IPO,17,0.18
1669,iFit,96,8,80.0,2021-12-08,Private Equity,56,0.18
1670,Better.com,125,21,900.0,2021-12-01,Unknown,56,0.09
1671,BitTitan,158,4,70.0,2021-11-18,Acquired,56,0.27
1672,Zillow,158,21,2000.0,2021-11-02,Post-IPO,56,0.25
1673,InVision,125,20,22.0,2021-10-05,Unknown,56,0.18
1674,Ozy Media,147,18,80.0,2021-10-01,Series C,56,1.0
1675,Zymergen,147,19,120.0,2021-09-23,Post-IPO,56,0.18
1676,Imperfect Foods,147,9,80.0,2021-09-22,Series D,56,0.18
1677,Genius,125,2,80.0,2021-09-15,Acquired,56,0.18
1678,Treehouse,138,5,41.0,2021-09-14,Series B,56,0.9
1679,Casper,125,23,80.0,2021-09-14,Post-IPO,56,0.18
1680,Tanium,158,25,30.0,2021-08-30,Unknown,56,0.18
1681,Flockjay,147,5,37.0,2021-08-24,Series A,56,0.5
1682,Bytedance,161,2,1800.0,2021-08-05,Unknown,9,0.18
1683,Pagarbook,17,10,80.0,2021-07-26,Series A,22,0.18
1684,Katerra,147,1,2434.0,2021-06-01,Unknown,56,1.0
1685,SumUp,97,7,80.0,2021-05-05,Unknown,55,0.18
1686,Lambda School,147,5,65.0,2021-04-29,Series C,56,0.18
1687,Madefire,147,18,80.0,2021-04-29,Series B,56,1.0
1688,Patreon,147,18,36.0,2021-04-26,Series D,56,0.18
1689,New Relic,147,13,160.0,2021-04-06,Post-IPO,56,0.07
1690,Medium,147,18,80.0,2021-03-24,Series C,56,0.18
1691,HuffPo,125,18,47.0,2021-03-09,Acquired,56,0.18
1692,Subspace,98,13,80.0,2021-03-03,Series B,56,0.18
1693,Clumio,147,4,80.0,2021-03-01,Series C,56,0.18
1694,DJI,147,2,80.0,2021-02-24,Unknown,56,0.18
1695,Ninjacart,17,9,200.0,2021-02-23,Unknown,22,0.18
1696,Bounce,17,27,200.0,2021-02-22,Series D,22,0.4
1697,ThredUp,39,23,243.0,2021-02-09,Series F,56,0.18
1698,Indigo,24,19,80.0,2021-02-09,Series F,56,0.18
1699,Limelight,125,22,13.0,2021-02-04,Unknown,56,1.0
1700,Quandoo,18,9,87.0,2021-02-03,Acquired,17,0.2
1701,Hubba,175,23,45.0,2021-02-01,Series B,7,1.0
1702,Bytedance,116,2,1800.0,2021-01-27,Unknown,22,0.18
1703,Privitar,97,4,20.0,2021-01-27,Series C,55,0.18
1704,Shutterfly,147,23,800.0,2021-01-25,Acquired,56,0.18
1705,Postmates,147,9,180.0,2021-01-23,Acquired,56,0.15
1706,Instacart,147,9,1877.0,2021-01-21,Unknown,56,0.18
1707,Pocketmath,163,17,21.0,2021-01-20,Unknown,46,1.0
1708,Dropbox,147,19,315.0,2021-01-13,Post-IPO,56,0.15
1709,Aura Financial,147,7,80.0,2021-01-11,Unknown,56,1.0
1710,Simple,138,7,80.0,2021-01-07,Acquired,56,1.0
1711,WhiteHat Jr,116,5,1800.0,2021-01-06,Acquired,22,0.18
1712,Pulse Secure,147,25,78.0,2020-12-23,Acquired,56,0.18
1713,Breather,114,21,120.0,2020-12-16,Series D,7,0.8
1714,Actifio,24,4,54.0,2020-12-16,Acquired,56,0.18
1715,OYO,66,28,600.0,2020-12-08,Series F,22,0.18
1716,Zinier,147,10,80.0,2020-11-25,Series C,56,0.18
1717,Aya,175,7,5.0,2020-11-19,Seed,56,0.25
1718,Domio,125,21,80.0,2020-11-18,Series B,56,0.5
1719,Bridge Connector,120,12,154.0,2020-11-17,Series B,56,1.0
1720,Tidepool,147,12,18.0,2020-11-17,Unknown,56,0.4
1721,Igenous,158,4,80.0,2020-11-17,Series C,56,0.18
1722,Scoop,147,27,80.0,2020-11-17,Series C,56,0.18
1723,Worksmith,8,23,30.0,2020-11-09,Unknown,56,0.5
1724,Rubica,158,25,80.0,2020-11-05,Series A,56,1.0
1725,Bossa Nova,147,23,80.0,2020-11-02,Unknown,56,0.5
1726,LivePerson,125,26,30.0,2020-11-01,Post-IPO,56,0.18
1727,Remedy,8,12,82.0,2020-10-29,Series A,56,0.18
1728,Knotel,125,21,20.0,2020-10-29,Series C,56,0.08
1729,Cheetah,147,9,80.0,2020-10-25,Series B,56,0.18
1730,CodeCombat,147,5,8.0,2020-10-23,Series A,56,0.18
1731,Quibi,98,18,80.0,2020-10-21,Private Equity,56,1.0
1732,Zomato,79,9,80.0,2020-10-20,Series J,23,0.18
1733,GetYourGuide,18,28,90.0,2020-10-14,Series E,17,0.17
1734,OLX India,122,17,250.0,2020-10-10,Acquired,22,0.18
1735,Chef,158,13,80.0,2020-10-08,Acquired,56,0.18
1736,Alto Pharmacy,147,12,47.0,2020-09-29,Series D,56,0.06
1737,TheWrap,98,18,80.0,2020-09-29,Series B,56,0.18
1738,HumanForest,97,27,80.0,2020-09-25,Private Equity,55,0.18
1739,WeWork ,162,21,80.0,2020-09-23,Series H,9,0.18
1740,Air,125,17,80.0,2020-09-16,Series A,56,0.16
1741,NS8,91,4,240.0,2020-09-11,Series A,56,0.95
1742,Bleacher Report,97,18,20.0,2020-09-11,Acquired,55,0.18
1743,HubHaus,147,21,80.0,2020-09-11,Series A,56,1.0
1744,Waze,147,27,30.0,2020-09-09,Acquired,56,0.054
1745,Ouster,147,27,80.0,2020-09-08,Series B,56,0.1
1746,Swing Education,147,5,80.0,2020-09-05,Series B,56,0.18
1747,Akerna,49,15,80.0,2020-09-02,Post-IPO,56,0.18
1748,Awok,52,23,80.0,2020-09-02,Series A,54,1.0
1749,Big Fish Games,158,18,250.0,2020-09-01,Acquired,56,0.18
1750,GoBear,163,7,22.0,2020-09-01,Unknown,46,0.11
1751,MakeMyTrip,122,28,350.0,2020-08-31,Post-IPO,22,0.1
1752,Salesforce,147,24,1000.0,2020-08-26,Post-IPO,56,0.0185
1753,kununu,24,22,80.0,2020-08-26,Acquired,56,0.18
1754,Superloop,27,13,30.0,2020-08-24,Post-IPO,1,0.18
1755,Spaces,98,18,80.0,2020-08-24,Acquired,56,0.18
1756,StreamSets,147,4,80.0,2020-08-20,Series C,56,0.18
1757,Docly,97,12,8.0,2020-08-19,Seed,55,0.8
1758,Mapify,18,28,80.0,2020-08-19,Seed,17,0.18
1759,Lumina Networks,147,13,80.0,2020-08-18,Series A,56,1.0
1760,DJI,162,2,80.0,2020-08-17,Unknown,9,0.18
1761,Shopify,131,23,30.0,2020-08-14,Post-IPO,7,0.18
1762,InVision,125,20,80.0,2020-08-14,Series F,56,0.18
1763,HopSkipDrive,98,27,80.0,2020-08-12,Unknown,56,0.18
1764,Mozilla,147,2,250.0,2020-08-11,Unknown,56,0.25
1765,Eatsy,163,9,20.0,2020-08-08,Seed,46,1.0
1766,Glossier,125,23,150.0,2020-08-07,Series D,56,0.38
1767,The Appraisal Lane,113,27,80.0,2020-08-07,Seed,57,0.18
1768,Thriver,175,9,75.0,2020-08-06,Series B,7,0.5
